id,usage,theme,state,base_token,derived_token,delta_l_min,delta_l_max,delta_c_min,delta_c_max,delta_h_max,contrast_foreground_token,contrast_background_token,contrast_threshold
filled_surface_light_hover,filled_surface,light,hover,theme.surface.interactive.primary.default,theme.surface.interactive.primary.hover,-0.12,-0.08,0.01,0.02,1,sys.text.on_interactive,,4.5
filled_surface_light_pressed,filled_surface,light,pressed,theme.surface.interactive.primary.default,theme.surface.interactive.primary.pressed,-0.15,-0.12,0.02,0.03,1,sys.text.on_interactive,,4.5
filled_surface_dark_hover,filled_surface,dark,hover,theme-dark.surface.interactive.primary.default,theme-dark.surface.interactive.primary.hover,0.08,0.12,0.01,0.02,1,theme-dark.text.on_interactive,,4.5
filled_surface_dark_pressed,filled_surface,dark,pressed,theme-dark.surface.interactive.primary.default,theme-dark.surface.interactive.primary.pressed,0.12,0.15,0.02,0.03,1,theme-dark.text.on_interactive,,4.5
filled_surface_sys_hover,filled_surface,system,hover,sys.surface.interactive.primary.default,sys.surface.interactive.primary.hover,-0.12,-0.08,0.01,0.02,1,sys.text.on_interactive,,4.5
filled_surface_sys_pressed,filled_surface,system,pressed,sys.surface.interactive.primary.default,sys.surface.interactive.primary.pressed,-0.15,-0.12,0.02,0.03,1,sys.text.on_interactive,,4.5
